1;Władca pierścieni;J.R.R;Tolkien
2;Buszujący w zbożu;Jerome David;Salinger
3;Harry Potter - seria;J.K.;Rowling
4;Duma i uprzedzenie;Jane;Austen
5;Paragraf 22;Joseph;Heller
6;Wielki Gatsby;Fitzgerald Francis;Scott
7;Alicja w Krainie Czarów;Caroll;Lewis
8;Kubuś Puchatek i Chatka Puchatka;A.A.;Milne
9;Anna Karenina;Lew;Tołstoj
10;Sto lat samotności;Gabriel García;Márquez
11;Zabić drozda;Lee;Harper
12;Rok 1984;Orwell;George
13;Jane Eyre;Charlotte;Bronte
14;Grona gniewu;John;Steinbeck
15;Folwark zwierzęcy;George;Orwell
16;Wichrowe wzgórza;Emily;Bronte
17;Autostopem przez galaktykę;Douglas;Adams
18;Opowieści z Narni;Lewis Clive;Staples
19;Małe kobietki;Louisa May;Alcott
20;Pajęczyna Szarloty;E.B.;White
21;Władca much;Wiliam;Golding
22;Tajemniczy Ogród;Frances Hodgson;Burnett
23;Mały książę;Antoine;de Saint-Exupery
24;Myszy i ludzie;John;Steinbeck
25;Miłość w czasach zarazy;Márquez Gabriel;García
26;Opowieść podręcznej;Margaret;Atwood
28;Życie Pi;Yann;Martel
29;Pani Bovary;Gustav;Flaubert
30;Hamlet;William;Szekspir
31;Kolor Purpury;Alice;Walker
32;Opowieść wigilijna;Charles;Dickens
33;Ania z Zielonego Wzgórza; Lucy Maud;Montgomery
34;Wyznania Gejszy;Arthur;Golden
35;Drakula;Bram;Stoker
36;Nowy wspaniały świat;Huxley;Aldous
37;Zbrodnia i Kara;Fiodor;Dostojewski
38;Charlie i fabryka czekolady;Roald;Dahl
39;Modlitwa za Owena;John;Irving
40;Przygody Sherlocka Holmesa;Arthur Conan;Doyle
41;Mistrz i Małgorzata;Michaił;Bułhakow
42;Baśnie;H. CH.;Andersen
43;Lalka;Bolesław;Prus
44;Tamte brzegi;Vladimir;Nabokov
45;Hobbit;J.R.;Tolkien
46;Pokój pełen liści;Joan;Aiken
47;451 stopni Fahrenheita;Ray;Bradbury
48;Romeo i Julia;William;Szekspir
49;Zły;Leopold;Tyrmand
50;Przeminęło z wiatrem;Margaret;Mitchell
51;Opowiadania;Ernest;Hemingway
52;„Lot nad kukułczym gniazdem;Ken;Kesey
53;Kompleks Portnoya;Philip;Roth
54;Kod Leonarda Da Vinci;Dan;Brown
55;Na wschód od Edenu;John;Steinbeck
56;Dziennik Anny Frank;Anne;Frank
57;Mężczyźni;którzy nienawidzą kobiet;Stieg;Larsson
58;Złodziejka książek;Markus;Zusak
59;Chłopiec z latawcem;Khaled;Hosseini
60;Cień Wiatru;Carlos Ruiz;Zafon
61;Diuna;Herbert;Frank
62;Igrzyska śmierci;Suzanne;Collins
63;Transatlantyk;Witold;Gombrowicz
64;Wielkie nadzieje;Charles;Dickens
65;Z zimną krwią;Truman;Capote
66;Rebeka;Daphne;Du Maurier
67;Szklany klosz;Sylvia;Plath
68;Dziennik Bridget Jones;Helen;Fieldieng
69;Opowieść o dwóch miastach;Charles;Dickens
70;Biblia;autor zbiorowy
71;Dawca;Lois;Lowry
72;O czym szumią wierzby;Kenneth;Grahamme
73;Gwiazd naszych wina;John;Green
74;Lolita;Vladimir;Nabokov
75;Żona podróżnika w czasie;Audrey;Niffenegger
76;David Coperfield;Charles;Dickens
77;Dzieci Północy;Rushdie;Salman
78;Pokuta;Ian;McEwan
79;Okruchy dnia;Kazuo;Ishiguro
80;Powrót do Missing;Abraham;Verghese
81;W drodze;John;Kerouac
82;Jądro Ciemności;Joseph;Conrad
83;Tajemna historia;Donna;Tartt
84;Atlas chmur;David;Mitchell
85;Rozważna i romantyczna;Jane;Austen
86;Nieśmiertelne życie Henrietty Lacks;Rebecca;Skloot
87;Germinal;Emil;Zola
88;Wodnikowe Wzgórze;Richard;Adams
89;Droga;Cormac;McCarthy
90;Rzeczy;które nieśli;Tim O'Brien
91;Nędznicy;Victor;Hugo
92;Trzej muszkieterowie;Alexander;Dumas
93;Kolej żelazna;Aharon;Appelfeld
94;No właśnie co. Dramaty i proza w przekładzie Antoniego Libery;Samuel;Beckett
95;Kulturowe sprzeczności kapitalizmu;Daniel;Bell
96;Zaburzenie;Thomas;Bernhard
97;Szumy;zlepy;ciągi;Miron;Białoszewski
98;Uwiedzeni;Anna;Bolecka
99;Utracona cześć Katarzyny Blum;Heinrich;Böll
100;Fikcje;J.L.;Borges
101;Pod osłoną nieba;Paul;Bowles
102;Krótka historia prawie wszystkiego;Bill;Bryson
103;Śniadanie u Tiffany’ego;Truman;Capote
104;Żegnaj;laleczko;Raymond;Chandler
105;Hańba;J.M.;Coetzee
106;Odlot malowanego ptaka;Henryk;Dasko
107;Noce i dnie;Maria;Dąbrowska
108;Druga płeć;Simone;De Beauvoir
109;Biesy;Fiodor;Dostojewski
110;Idiota;Fiodor;Dostojewski
111;Pożegnania;Stanisław;Dygat
112;Wiersze;T.S.;Eliot
113;Encheiridion;Epiktet
114;Historia szaleństwa w dobie klasycyzmu;Michel;Foucault
115;Mag;John;Fowles
116;Życie przed sobą;Romain;Gary
117;Skowyt i inne wiersze;Allen;Ginsberg
118;Martwe dusze;Mikołaj;Gogol
119;Dziennik;Witold;Gombrowicz
120;Sąsiedzi;Jan Tomasz;Gross
121;Wierność w stereo;Nick;Hornby
122;Świat według Garpa;John;Irving
123;Sława i chwała;Jarosław;Iwaszkiewicz
124;Cholonek;czyli dobry pan Bóg z gliny;Janosh
125;Mój diabeł stróż;Anita Halina;Janowska
126;Kometa nad Doliną Muminków;Tove;Jansson
127;Na marmurowych skałach;Ernst;Junger
128;Zamek;Franz;Kafka
129;Szachinszach;Ryszard;Kapuściński
130;Jak umierają nieśmiertelni;Krzysztof;Kąkolewski
131;Sprawa osobista;Ōe;Kenzaburō
132;Kalendarz i klepsydra;Tadeusz;Konwicki
133;Pamiętnik i inne pisma z getta;Janusz;Korczak
134;Nieznośna lekkość bytu;Milan;Kundera
135;Solaris;Stanisław;Lem
136;Piąte dziecko;Doris;Lessing
137;Łaskawe;Jonathan;Littell
138;Zew Cthulhu;Howard Phillips;Lovecraft
139;Mefisto;Klaus;Mann
140;Czarodziejska góra;Thomas;Mann
141;Ballady i Romanse;Adam;Mickiewicz
142;Wypisy z ksiąg użytecznych;Czesław;Miłosz
143;Dziś wolałabym siebie nie spotkać;Herta;Müller
144;Nagi sad;Wiesław;Myśliwski
145;Traktat o łuskaniu fasoli;Wiesław;Myśliwski
146;Medaliony;Zofia;Nałkowska
147;Madame Frankenstein;Zyta;Oryszyn
148;W poszukiwaniu straconego czasu;Marcel;Proust
149;Ojciec chrzestny;Mario;Puzo
150;Na Zachodzie bez zmian;Erich Maria;Remarque
151;Wiersze;Tadeusz;Różewicz
152;Kinderszenen;Jarosław Marek;Rymkiewicz
153;Mdłości;Jean Paul;Sartre
154;Sklepy cynamonowe/ Sanatorium pod Klepsydrą;Bruno;Schulz
155;Pogoda dla bogaczy;Irwin;Shaw
156;Białe zęby;Zadie;Smith
157;Wybór Zofii;William;Styron
158;Wiersze wybrane;Wisława ;Szymborska
159;Zimne kraje;Marcin;Świetlicki
160;Dom dzienny;dom nocny;Olga;Tokarczuk
161;Oni;Teresa;Torańska
162;Rodzinna historia lęku;Agata;Tuszyńska
163;Groch z kapustą;Julian;Tuwim
164;Krystyna córka Lavransa;Sigrid;Undset
165;Rozmowa w Katedrze;Mario Vargas;Llosa
166;Pantaleon i wizytantki;Mario Vargas;Llosa
167;Pani Dalloway;Virginia;Woolf
168;Własny pokój;Virginia;Woolf
169;Pan Tadeusz;Adam;Mickiewicz
170;Krótka historia Czasu;Stephen;Hawking
171;Wstrząsające dzieło kulejącego geniusza;Dave;Eggers
172;Było minęło: wspomnienia dziecka-żołnierza;Ishmael;Beah
173;Przedwiośnie;Stefan;Żeromski
174;Wszyscy ludzie prezydenta;;Bob Woodward / Carl Bernstein
175;Mroczne Materie;Philip;Pullman
176;Teresa D'Uberville;Thomas ;Hardy
177;Birdsong;Sebastian;Faulks
178;Przygody Hucka Finna;Mark;Twain
179;Służące;Kathryn;Stockett
180;Lęk i odraza w Las Vegas;Hunter S.;Thompson
181;Proces;Franz;Kafka
182;Miasteczko Middlemarch;George;Eliot
183;Zaginiona dziewczyna;Gillian;Flynn
184;Strzelby;zarazki;maszyny: losy ludzkich społeczeństw;Jared;Diamond
185;Samotnia;Charles;Dickens
186;Wojna i Pokój;Lew;Tołstoj
187;Noc;Elie;Wiesel
188;Tłumacz chorób;Jhumpa;Lahiri
189;Niewidzialny człowiek;Ralph;Ellison
190;Znowu w Brideshead;Evelyn;Waugh
191;Jej wszystkie życia; Kate;Atkinson
192;Boska Komedia;Dante;Aligeri
193;Emma;Jane;Austen
194;Moneyball. Nieczysta gra;Michael;Lewis
195;Perswazje;Jane;Austen
196;Persepolis;Marjane;Satrapi
197;Kapitan Corelli;Louis;De Bernieres
198;Przygody Tomka Sawyera;Mark;Twain
199;Makbet;William;Szekspir
200;Krótki i niezwykły żywot Oscara Wao;Junot;Díaz
201;Kobieta w bieli;Collins;Wilkie
202;Frankenstein;Mary;Shelley
203;Dzieci z Bullerbyn;Astrid;Lindgren
204;Korekty;Jonathan;Franzen
205;Z dala od zgiełku;Thomas;Hardy
206;Hrabia Monte Christo;Alexandre;Dumas
207;Drzewko na Brooklynie;Betty;Smith
208;Powrót Sherlocka Holmesa;Arthur Conan;Doyle
209;Cold Comfort Farm;Stella;Gibbons
210;Bastion;Stephen;King
211;Pretendent do ręki;Seth;Vikram
212;Obca;Diana;Gabaldon
213;Długie pożegnanie;Raymond;Chandler
214;Kupa kultury. Przewodnik inteligenta;Leszek;Bugajski
215;Gra Endera;Orson Scott;Card
216;Dziwny przypadek psa nocną porą;Mark;Haddon
217;Mężczyzna;który pomylił swoją żonę z kapeluszem;Oliver;Sacks
218;W obronie jedzenia. Manifest wszystkożerców;Michael;Pollan
219;Ptasiek;William;Wharton
220;Gra o tron;George R.R.;Martin
221;S-kadra;Tom;Wolfe
222;Nostalgia Anioła;Alice;Sebolt
223;Stary człowiek i morze;Ernest;Hemingway
224;Moby Dick;Herman;Melville
225;Juda nieznany;Thomas;Hardy
226;Lord Jim;Josep;h Conrad
227;Bardzo głodna gąsienica;Eric;Carle
228;Dżuma;Albert;Camus
229;Szkarłatna litera;Nathaniel;Hawthorne
230;Oliver Twist;Charles;Dickens
231;Filary Ziemi;Ken;Follett
232;Pięć osób;które spotykamy w niebie;Mitch;Albom
233;Łuk Triumfalny;Erich Maria;Remarque
234;Zapiski z małej wyspy;Bryson;Bill
235;Kronika ptaka nakręcacza;Haruki;Murakami
236;Ulisses;James;Joyce
237;Narzeczona dla księcia;William;Goldman
238;Jaskółki i Amazonki;Arthur;Ransome
239;Woda dla słoni;Sara;Gruen
240;Kruk;Edgar Allan;Poe
241;Dolina lalek;Jacqueline;Susann
242;Targowisko próżności;William Makepeace;Thackeray
243;Sekretne życie pszczół;Sue Monk;Kidd
244;Opętanie;A.S.;Byatt
245;Zaklęci w czasie;Audrey;Niffenegger
246;Gdy była porządną dziewczyną;Philip;Roth
247;Odyseja;Homer
248;Łaskawa ziemia;Pearl S.;Buck
249;I nie było już nikogo;Agatha;Christie
250;Chłopi;Władysław;Reymont
251;Ptaki ciernistych krzewów;Colleen;McCullough
252;Szklany zamek;Jeannette;Walls
253;Fabryka os;Iain;Banks
254;Siddhartha;Hermann;Hesse
255;Sprzysiężenie głupców;John Kennedy;Toole
256;Umiłowana;Toni;Morrison
257;Miasteczko jak Alece Springs;Nevil;Shute
258;Niezwykła rogatka;Norton;Juster
259;Bracia Karamazow;Fiodor;Dostojewski
260;Historia mego życia";Helen;Keller
